,time,open,high,low,close,tick_volume,spread,real_volume,MeanCloseOpen,Diff_Close,Diff_Open,Diff_MeanCloseOpen
0,2022-07-25 13:00:00,1.02427,1.0243,1.02145,1.02345,3927,8,0,1.02386,-0.00046,-0.00082,-0.00064
1,2022-07-25 14:00:00,1.02345,1.02578,1.02288,1.02299,5344,8,0,1.02322,-0.00046,-0.00082,-0.00064
2,2022-07-25 15:00:00,1.02303,1.02476,1.0223,1.02457,5524,8,0,1.0238,0.00158,-0.00042,0.00058
3,2022-07-25 16:00:00,1.02454,1.02548,1.02355,1.02485,5234,8,0,1.024695,0.00028,0.00151,0.000895
4,2022-07-25 17:00:00,1.02485,1.02514,1.0203,1.02181,9031,7,0,1.02333,-0.00304,0.00031,-0.001365
5,2022-07-25 18:00:00,1.02181,1.02229,1.02057,1.02099,4755,8,0,1.0214,-0.00082,-0.00304,-0.00193
6,2022-07-25 19:00:00,1.02099,1.02248,1.02062,1.02211,2438,8,0,1.02155,0.00112,-0.00082,0.00015
7,2022-07-25 20:00:00,1.02211,1.02289,1.02136,1.02201,2114,8,0,1.02206,-1.00E-04,0.00112,0.00051
8,2022-07-25 21:00:00,1.02201,1.02273,1.02185,1.02211,1589,8,0,1.02206,1.00E-04,-1.00E-04,0
9,2022-07-25 22:00:00,1.02211,1.02258,1.02206,1.02255,1428,8,0,1.02233,0.00044,1.00E-04,0.00027
10,2022-07-25 23:00:00,1.02254,1.02268,1.02193,1.02211,741,8,0,1.022325,-0.00044,0.00043,-5.00E-06
11,2022-07-26 0:00:00,1.02203,1.02203,1.02175,1.02191,196,28,0,1.02197,-0.0002,-0.00051,-0.000355
12,2022-07-26 1:00:00,1.02191,1.02225,1.02184,1.02199,747,8,0,1.02195,8.00E-05,-0.00012,-2.00E-05
13,2022-07-26 2:00:00,1.02199,1.02236,1.02164,1.02231,743,8,0,1.02215,0.00032,8.00E-05,0.0002
